FirstName,LastName,Name,Company,Department,Telephone,Address,City,State,ZipCode,Country,OfficeName,email,password,OU
Paul,Allen,PAllen,MuyiGroups,Operation,0891234533,133 Phoenix Park,Chicago,Illinois,70098,USA,HQ,PAllen@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Kimberly,King,KKing,MuyiGroups,Legal,0891234534,134 Phoenix Park,Chicago,Illinois,70098,USA,HQ,KKing@muyigroups.org,password1234**,OU=Users,"OU=Lab_OUs,DC=muyigroups,DC=org" 
Andrew,Wright,AWright,MuyiGroups,Engineering,0891234535,135 Phoenix Park,Chicago,Illinois,70098,USA,HQ,AWright@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Donna,Scott,DScott,MuyiGroups,Admins,0891234536,136 Phoenix Park,Chicago,Illinois,70098,USA,HQ,DScott@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Joshua,Torres,JTorres,MuyiGroups,IT,0891234537,137 Phoenix Park,Chicago,Illinois,70098,USA,HQ,JTorres@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Emily,Nguyen,ENguyen,MuyiGroups,HR,0891234538,138 Phoenix Park,Chicago,Illinois,70098,USA,HQ,ENguyen@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Kenneth,Hill,KHill,MuyiGroups,Finance,0891234539,139 Phoenix Park,Chicago,Illinois,70098,USA,HQ,KHill@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Michelle,Flores,MFlores,MuyiGroups,Marketing,0891234540,140 Phoenix Park,Chicago,Illinois,70098,USA,HQ,MFlores@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Kevin,Green,KGreen,MuyiGroups,Sales,0891234541,141 Phoenix Park,Chicago,Illinois,70098,USA,HQ,KGreen@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Dorothy,Adams,DAdams,MuyiGroups,Operation,0891234542,142 Phoenix Park,Chicago,Illinois,70098,USA,HQ,DAdams@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Brian,Nelson,BNelson,MuyiGroups,Legal,0891234543,143 Phoenix Park,Chicago,Illinois,70098,USA,HQ,BNelson@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Carol,Baker,CBaker,MuyiGroups,Engineering,0891234544,144 Phoenix Park,Chicago,Illinois,70098,USA,HQ,CBaker@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org"
George,Hall,GHall,MuyiGroups,Admins,0891234545,145 Phoenix Park,Chicago,Illinois,70098,USA,HQ,GHall@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Amanda,Rivera,ARivera,MuyiGroups,IT,0891234546,146 Phoenix Park,Chicago,Illinois,70098,USA,HQ,ARivera@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org"
Edward,Campbell,ECampbell,MuyiGroups,HR,0891234547,147 Phoenix Park,Chicago,Illinois,70098,USA,HQ,ECampbell@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org"
Melissa,Mitchell,MMitchell,MuyiGroups,Finance,0891234548,148 Phoenix Park,Chicago,Illinois,70098,USA,HQ,MMitchell@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org"
Ronald,Carter,RCarter,MuyiGroups,Marketing,0891234549,149 Phoenix Park,Chicago,Illinois,70098,USA,HQ,RCarter@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org"
